first_name;last_name;age;gender;phone;email
Алевтин;Артюх;40;male;045 603 75 55;makarvysochan@shylo.net
Софія;Бандурка;31;female;506-76-78;yadamchuk@savenko-artymyshyn.info
Демʼян;Шаблій;23;male;234-31-00;ldavymuka@gov.ua
Алла;Ґоляш;18;female;023 343-51-33;iemetsʹielysei@bhydenko.com
Ігор;Гук;13;male;065 17 27;nataliia34@shakhrai.укр
Марʼяна;Величко;45;female;020 364 36 86;oiarema@gmail.com
Алла;Зінкевич;10;female;093 163-65-35;tovcharenko@email.ua
Лариса;Гайдабура;24;female;041 070 54 72;ktsiutsiura@ukr.net
Галина;Бакуменко;14;female;+38 622 056-35-22;khomabazavluchenko@gov.ua
Петро;Вишиваний;9;male;008 058 72 36;sievdokymenko@andriichuk-lubenetsʹ.org
Остап;Бандура;44;male;959 35 60;darynatelychenko@gov.ua
Лукʼян;Яценко;10;male;863-79-23;riabchenkodemʼian@matviienko.org
Юстина;Зайченко;59;female;063 366-38-88;symonenkoklavdiia@piddubnyi-aronetsʹ.com
Болеслав;Яремчук;32;male;182-13-85;viktoriiaonishchuk@ukr.net
Людмила;Зарудний;30;female;057 002-01-76;tshynkarenko@ukr.net
Емілія;Дубас;12;female;724-28-69;heorhiizhalilo@pustovit.info
Аарон;Жученко;13;male;+38 914 372 03 46;okhrim65@romanetsʹ-derkach.info
Левко;Вернидуб;16;male;073 060 69 26;anzhela80@gmail.com
Мілена;Адаменко;39;female;+38 741 305 44 98;androshchukdemʼian@zasukha.ua
Леонтій;Верховинець;36;male;+38 (984) 901-94-45;allahavryliv@andreiko.org
